dt,output
4.96117343e-2,6.47093163e-2
1.10440035e-1,3.75244706e-2
1.71268335e-1,2.72763614e-2
2.24331320e-1,2.20513074e-2
2.78688525e-1,1.90520749e-2
3.35634167e-1,1.80656777e-2
3.97756687e-1,1.93069773e-2
4.85763589e-1,2.45250776e-2
5.75064711e-1,3.41909001e-2
6.55306299e-1,4.70368979e-2
7.13546160e-1,5.81822839e-2
7.95081967e-1,7.19685673e-2
8.70146678e-1,9.38821383e-2
9.36151855e-1,1.13081368e-1
9.99568594e-1,1.36206908e-1
1.09016393e+0,1.66256725e-1
1.18334771e+0,1.92429337e-1
1.28559103e+0,2.19781606e-1
1.38006903e+0,2.47707636e-1
1.49913719e+0,2.75496090e-1
1.61302847e+0,2.94425532e-1
1.69844694e+0,3.23131658e-1
1.82528041e+0,3.27454916e-1
1.92752373e+0,3.27454916e-1
2.00000000e+0,3.31836016e-1
2.09836066e+0,3.31836016e-1
2.20319241e+0,3.23131658e-1

