P,dt,max_bond_dim,filepath_patterns,output
1000,0.1,10,patterns_8-10.npy,0.001363913683153098
1000,0.2,10,patterns_8-10.npy,0.001005301864021875
1000,0.3,10,patterns_8-10.npy,0.0004926855154706519
1000,0.4,10,patterns_8-10.npy,0.08156094617336311
1000,0.5,10,patterns_8-10.npy,0.8013433531954725
1000,0.6,10,patterns_8-10.npy,0.4935949311810481
1000,0.7,10,patterns_8-10.npy,0.521098871547749
1000,0.8,10,patterns_8-10.npy,0.5543877559096849
1000,0.9,10,patterns_8-10.npy,0.6347322684934552
1000,1.0,10,patterns_8-10.npy,0.4287556079096664
1000,1.1,10,patterns_8-10.npy,0.40760935574284746
1000,1.2,10,patterns_8-10.npy,0.34642710773451146
1000,1.3,10,patterns_8-10.npy,0.6999274272689764
1000,1.4,10,patterns_8-10.npy,0.39396875552823096
1000,1.5,10,patterns_8-10.npy,0.35546336425619685
1000,1.6,10,patterns_8-10.npy,0.4744865741076625
1000,1.7,10,patterns_8-10.npy,0.08031686871083907
1000,1.8,10,patterns_8-10.npy,0.06718603205833606
1000,1.9,10,patterns_8-10.npy,0.05622076990632559
